bin,v_low,v_high,parameter,estimate,bootstrap_sem
2,1.8471509030723694,2.4422162232246407,Q_sigma,0.05374506542074336,0.003975442681386984
2,1.8471509030723694,2.4422162232246407,Q_qq,1.5370849302757048,0.14483004445813766
2,1.8471509030723694,2.4422162232246407,Q_pp,1.9799993347078249,0.14615792795468738
2,1.8471509030723694,2.4422162232246407,Q_omegaomega,0.888201199939593,0.05242360407662217
2,1.8471509030723694,2.4422162232246407,Q_qp,-0.14288945418443455,0.06341383966375318
2,1.8471509030723694,2.4422162232246407,Q_qomega,0.054207999019490465,0.039485745558919
2,1.8471509030723694,2.4422162232246407,Q_pomega,-0.5993098200999847,0.09563916128860496
2,1.8471509030723694,2.4422162232246407,n,413.0,33.278860252156164
3,2.4422162232246407,2.8625180209884253,b_v,0.15943555997022654,0.014966992528341804
3,2.4422162232246407,2.8625180209884253,Q_v,0.005016304291773413,0.0004196052809122576
3,2.4422162232246407,2.8625180209884253,a_0,0.13244195969446743,0.09343783430025461
3,2.4422162232246407,2.8625180209884253,a_1,-0.4976777380527976,0.15075703790983042
3,2.4422162232246407,2.8625180209884253,c_q0,0.6431315967411413,0.2156712094047646
3,2.4422162232246407,2.8625180209884253,c_qsigma,-0.6102713364739042,0.40321093949707026
3,2.4422162232246407,2.8625180209884253,c_qq,-2.2618191026822045,0.2632408045944823
3,2.4422162232246407,2.8625180209884253,c_p0,-0.39926908367193326,0.1529698169168318
3,2.4422162232246407,2.8625180209884253,c_pp,-3.3645521066176007,0.27113633854326047
3,2.4422162232246407,2.8625180209884253,c_pomega,0.14759318756032627,0.5193470236984846
3,2.4422162232246407,2.8625180209884253,c_omega0,-0.04835538185043459,0.07163767185181485
3,2.4422162232246407,2.8625180209884253,c_omegap,0.4822647135530919,0.24521065090135238
3,2.4422162232246407,2.8625180209884253,c_omegaomega,-1.9566449418731087,0.250632102486458
3,2.4422162232246407,2.8625180209884253,Q_sigma,0.027245876340917838,0.0025074773464264146
3,2.4422162232246407,2.8625180209884253,Q_qq,0.6764551926631943,0.06507276774861268
3,2.4422162232246407,2.8625180209884253,Q_pp,0.8647803081113067,0.05823981605239835
3,2.4422162232246407,2.8625180209884253,Q_omegaomega,0.37486829371062097,0.02220460130884133
3,2.4422162232246407,2.8625180209884253,Q_qp,-0.021143411943628326,0.041492706081974993
3,2.4422162232246407,2.8625180209884253,Q_qomega,-0.003968540045524099,0.018766588115612607
3,2.4422162232246407,2.8625180209884253,Q_pomega,-0.3054518002210362,0.021724805333441375
3,2.4422162232246407,2.8625180209884253,n,413.0,39.90222176254477
4,2.8625180209884253,3.177888410132657,b_v,0.11747918402206009,0.007857562081585539
4,2.8625180209884253,3.177888410132657,Q_v,0.0025858923184490686,0.000258517216580758
4,2.8625180209884253,3.177888410132657,a_0,0.02547021585883592,0.03644021466198999
4,2.8625180209884253,3.177888410132657,a_1,-0.1908367154765328,0.056162944897685974
4,2.8625180209884253,3.177888410132657,c_q0,0.5220077680184159,0.16642901396238963
4,2.8625180209884253,3.177888410132657,c_qsigma,-0.45898341402570664,0.2534003162838159
4,2.8625180209884253,3.177888410132657,c_qq,-1.4341725629529087,0.35026068563956986
4,2.8625180209884253,3.177888410132657,c_p0,-0.13670369351767414,0.11291972576982644
4,2.8625180209884253,3.177888410132657,c_pp,-2.313395111394009,0.2875591374343962
4,2.8625180209884253,3.177888410132657,c_pomega,0.1673739894560198,0.34800134890340384
4,2.8625180209884253,3.177888410132657,c_omega0,0.06329142646823534,0.08220159400087822
4,2.8625180209884253,3.177888410132657,c_omegap,-0.070357693572907,0.21836595107300127
4,2.8625180209884253,3.177888410132657,c_omegaomega,-1.9284521297482122,0.5136906998882151
4,2.8625180209884253,3.177888410132657,Q_sigma,0.020844315465307718,0.002932968312597285
4,2.8625180209884253,3.177888410132657,Q_qq,0.36873053519468185,0.026310956006818202
4,2.8625180209884253,3.177888410132657,Q_pp,0.36036318975752346,0.02629783906098956
4,2.8625180209884253,3.177888410132657,Q_omegaomega,0.1825682805016961,0.013371533844690508
4,2.8625180209884253,3.177888410132657,Q_qp,-0.0010188082760918282,0.01760777361298268
4,2.8625180209884253,3.177888410132657,Q_qomega,-0.00883708998642568,0.015312269434179836
4,2.8625180209884253,3.177888410132657,Q_pomega,-0.0951179138931638,0.011576463025683362
4,2.8625180209884253,3.177888410132657,n,413.0,27.744754974074443
